threshold	replicate	old set X	old score	old FN	new set X	new score	new FN	set X	score	FN
ori	1	34137	0.571439757	0.1556	33219	0.571448736	0.1556	-0.0269 	0.0000 	0.0000
t0	1	33895	0.589077699	0.1333	37229	0.589077699	0.1333	0.0984 	0.0000 	0.0000
t10	1	29885	0.659385051	0.1556	41815	0.659311404	0.1556	0.3992 	-0.0001 	0.0000
t20	1	21537	0.693601091	0.1778	31375	0.693601091	0.1778	0.4568 	0.0000 	0.0000
t3	1	32553	0.623195549	0.1556	43311	0.62311448	0.1333	0.3305 	-0.0001 	-0.0223
t33	1	16623	0.727634473	0.2	21579	0.727797391	0.2	0.2981 	0.0002 	0.0000
t5	1	31097	0.635825317	0.1333	43855	0.635984757	0.1111	0.4103 	0.0003 	-0.0222
t50	1	14149	0.766723527	0.2444	14461	0.766665088	0.2	0.0221 	-0.0001 	-0.0444
t7	1	30943	0.646688668	0.1778	43799	0.646741489	0.1778	0.4155 	0.0001 	0.0000
t75	1	13225	0.81696312	0.2667	8975	0.817178466	0.2667	-0.3214 	0.0003 	0.0000
ori	10	33845	0.57258948	0.1111	32887	0.572534135	0.0667	-0.0283 	-0.0001 	-0.0444
t0	10	33547	0.589187983	0.1333	36635	0.589129953	0.1111	0.0920 	-0.0001 	-0.0222
t10	10	27619	0.659584694	0.1111	41201	0.659533762	0.1111	0.4918 	-0.0001 	0.0000
t20	10	25745	0.693681256	0.1333	31329	0.693221701	0.1333	0.2169 	-0.0007 	0.0000
t3	10	31883	0.623760097	0.0889	42785	0.623760097	0.0889	0.3419 	0.0000 	0.0000
t33	10	17041	0.7295434	0.1778	21275	0.729530194	0.1778	0.2485 	0.0000 	0.0000
t5	10	34533	0.635825549	0.0889	43761	0.635831115	0.0889	0.2672 	0.0000 	0.0000
t50	10	14113	0.771631158	0.1778	13165	0.771937618	0.2	-0.0672 	0.0004 	0.0222
t7	10	31763	0.645354697	0.1111	42743	0.645359059	0.1111	0.3457 	0.0000 	0.0000
t75	10	9321	0.821093873	0.2889	8371	0.82196644	0.2889	-0.1019 	0.0011 	0.0000
ori	11	33983	0.569430671	0.1556	33091	0.569477742	0.1556	-0.0262 	0.0001 	0.0000
t0	11	34753	0.587207515	0.0889	36979	0.587046999	0.1333	0.0641 	-0.0003 	0.0444
t10	11	31221	0.654404435	0.1333	40587	0.654761371	0.0889	0.3000 	0.0005 	-0.0444
t20	11	26583	0.688028734	0.1556	31171	0.688023867	0.1556	0.1726 	0.0000 	0.0000
t3	11	32747	0.621130583	0.0889	42833	0.621130583	0.0889	0.3080 	0.0000 	0.0000
t33	11	21733	0.716791259	0.2222	22167	0.716791259	0.2222	0.0200 	0.0000 	0.0000
t5	11	32161	0.633316088	0.0889	43371	0.633698791	0.0667	0.3486 	0.0006 	-0.0222
t50	11	16231	0.755312731	0.1778	14791	0.755314377	0.1778	-0.0887 	0.0000 	0.0000
t7	11	31879	0.642390298	0.1111	42681	0.642390298	0.1111	0.3388 	0.0000 	0.0000
t75	11	11459	0.810795902	0.2889	9039	0.811667348	0.2667	-0.2112 	0.0011 	-0.0222
ori	12	34171	0.566791469	0.1111	33185	0.566719678	0.1111	-0.0289 	-0.0001 	0.0000
t0	12	33739	0.584455601	0.1111	37261	0.584455601	0.1111	0.1044 	0.0000 	0.0000
t10	12	28573	0.653898431	0.0889	42071	0.653898431	0.0889	0.4724 	0.0000 	0.0000
t20	12	22427	0.687637931	0.1556	31983	0.688141626	0.0667	0.4261 	0.0007 	-0.0889
t3	12	34351	0.618721265	0.1333	43519	0.618721265	0.1333	0.2669 	0.0000 	0.0000
t33	12	19267	0.722409886	0.1333	21455	0.722409886	0.1333	0.1136 	0.0000 	0.0000
t5	12	33961	0.629554327	0.1333	44309	0.629812092	0.0667	0.3047 	0.0004 	-0.0666
t50	12	17089	0.761688561	0.1556	14597	0.761688561	0.1556	-0.1458 	0.0000 	0.0000
t7	12	33267	0.640817518	0.1111	43771	0.640499714	0.1333	0.3157 	-0.0005 	0.0222
t75	12	10887	0.820347225	0.1778	8279	0.820355739	0.1778	-0.2396 	0.0000 	0.0000
ori	13	34017	0.567056285	0.1778	33119	0.567012231	0.1778	-0.0264 	-0.0001 	0.0000
t0	13	34887	0.584783972	0.1778	36955	0.584826782	0.1778	0.0593 	0.0001 	0.0000
t10	13	29399	0.659441494	0.1333	41261	0.659587325	0.1111	0.4035 	0.0002 	-0.0222
