distance	length	replicate	cluster2	score2	fn2	cluster3	score3	fn3	cluster	score	fn
0.5X	500	10	33845	0.57258948	0.1556	32887	0.572534135	0.1556	-0.02830551	-0.00010 	0
0.5X	500	11	33983	0.569430671	0.1111	33091	0.569477742	0.0667	-0.026248418	0.00008 	-0.0444
0.5X	500	12	34171	0.566791469	0.1556	33185	0.566719678	0.1556	-0.028854877	-0.00013 	0
0.5X	500	13	34017	0.567056285	0.1111	33119	0.567012231	0.1111	-0.026398565	-0.00008 	0
0.5X	500	14	33845	0.57070036	0.1778	32959	0.570799183	0.1778	-0.026178165	0.00017 	0
0.5X	500	15	34055	0.566818887	0.1556	33145	0.566479546	0.0889	-0.02672148	-0.00060 	-0.0667
0.5X	500	16	33869	0.56930887	0.0889	32951	0.569261728	0.1333	-0.027104432	-0.00008 	0.0444
0.5X	500	17	34093	0.567405237	0.0667	33157	0.567405237	0.0889	-0.027454316	0.00000 	0.0222
0.5X	500	18	34017	0.564510397	0.1333	33131	0.564296217	0.1333	-0.026045801	-0.00038 	0
0.5X	500	19	34047	0.570257827	0.1556	33133	0.570037887	0.1556	-0.026845243	-0.00039 	0
0.5X	500	1	34137	0.571439757	0.1778	33219	0.571448736	0.1556	-0.026891642	0.00002 	-0.0222
0.5X	500	20	34165	0.565457169	0.1111	33211	0.565500375	0.1111	-0.027923313	0.00008 	0
0.5X	500	2	33943	0.569476786	0.1111	33087	0.569476786	0.0667	-0.025218749	0.00000 	-0.0444
0.5X	500	3	34009	0.569081072	0.1333	33043	0.568986355	0.1333	-0.028404246	-0.00017 	0
0.5X	500	4	34089	0.566996747	0.1778	33197	0.566670824	0.2444	-0.026166799	-0.00057 	0.0666
0.5X	500	5	34053	0.567484402	0.1556	33123	0.567484402	0.1556	-0.027310369	0.00000 	0
0.5X	500	6	34139	0.567911538	0.1556	33229	0.567995292	0.1111	-0.026655731	0.00015 	-0.0445
0.5X	500	7	33899	0.567852811	0.1556	33011	0.567898438	0.1333	-0.026195463	0.00008 	-0.0223
0.5X	500	8	34305	0.566777254	0.1111	33391	0.566425881	0.1333	-0.026643346	-0.00062 	0.0222
0.5X	500	9	33965	0.570553906	0.1333	33017	0.570432069	0.1111	-0.027911085	-0.00021 	-0.0222
