input type	seq length	replicate	contraction rate	Error Rate
0.5X	500	10	ori	0.029411765
0.5X	500	10	t0	0.029411765
0.5X	500	10	t10	0.029411765
0.5X	500	10	t20	0.029411765
0.5X	500	10	t3	0.029411765
0.5X	500	10	t33	0.029411765
0.5X	500	10	t5	0.029411765
0.5X	500	10	t50	0.058823529
0.5X	500	10	t7	0.029411765
0.5X	500	10	t75	0
0.5X	500	12	ori	0.029411765
0.5X	500	12	t0	0.029411765
0.5X	500	12	t10	0.058823529
0.5X	500	12	t20	0.058823529
0.5X	500	12	t3	0.029411765
0.5X	500	12	t33	0.058823529
0.5X	500	12	t5	0.029411765
0.5X	500	12	t50	0.029411765
0.5X	500	12	t7	0.058823529
0.5X	500	12	t75	0.088235294
0.5X	500	14	ori	0.029411765
0.5X	500	14	t0	0.029411765
0.5X	500	14	t10	0.029411765
0.5X	500	14	t20	0.029411765
0.5X	500	14	t3	0.029411765
0.5X	500	14	t33	0.058823529
0.5X	500	14	t5	0.029411765
0.5X	500	14	t50	0.058823529
0.5X	500	14	t7	0.029411765
0.5X	500	14	t75	0
0.5X	500	16	ori	0.058823529
0.5X	500	16	t0	0.058823529
0.5X	500	16	t10	0.029411765
0.5X	500	16	t20	0.058823529
0.5X	500	16	t3	0.058823529
0.5X	500	16	t33	0.029411765
0.5X	500	16	t5	0.058823529
0.5X	500	16	t50	0.029411765
0.5X	500	16	t7	0.029411765
0.5X	500	16	t75	0.029411765
0.5X	500	18	ori	0.058823529
0.5X	500	18	t0	0.058823529
0.5X	500	18	t10	0.058823529
0.5X	500	18	t20	0.058823529
0.5X	500	18	t3	0.058823529
0.5X	500	18	t33	0.058823529
0.5X	500	18	t5	0.058823529
0.5X	500	18	t50	0.058823529
0.5X	500	18	t7	0.058823529
0.5X	500	18	t75	0.058823529
0.5X	500	2	ori	0.058823529
0.5X	500	2	t0	0.058823529
0.5X	500	2	t10	0.058823529
0.5X	500	2	t20	0.058823529
0.5X	500	2	t3	0.058823529
0.5X	500	2	t33	0.029411765
0.5X	500	2	t5	0.058823529
0.5X	500	2	t50	0.029411765
0.5X	500	2	t7	0.058823529
0.5X	500	2	t75	0.088235294
0.5X	500	20	ori	0.058823529
0.5X	500	20	t0	0.058823529
0.5X	500	20	t10	0.029411765
0.5X	500	20	t20	0.029411765
0.5X	500	20	t3	0.058823529
0.5X	500	20	t33	0.088235294
0.5X	500	20	t5	0.029411765
0.5X	500	20	t50	0.117647059
0.5X	500	20	t7	0.029411765
0.5X	500	20	t75	0.088235294
0.5X	500	22	ori	0.088235294
0.5X	500	22	t0	0.088235294
0.5X	500	22	t10	0.088235294
0.5X	500	22	t20	0.058823529
0.5X	500	22	t3	0.088235294
0.5X	500	22	t33	0.088235294
0.5X	500	22	t5	0.088235294
0.5X	500	22	t50	0.088235294
0.5X	500	22	t7	0.088235294
0.5X	500	22	t75	0.058823529
0.5X	500	24	ori	0.029411765
0.5X	500	24	t0	0.029411765
0.5X	500	24	t10	0.029411765
0.5X	500	24	t20	0.029411765
0.5X	500	24	t3	0.029411765
0.5X	500	24	t33	0.029411765
0.5X	500	24	t5	0.029411765
0.5X	500	24	t50	0.058823529
0.5X	500	24	t7	0.029411765
0.5X	500	24	t75	0.029411765
0.5X	500	26	ori	0.088235294
0.5X	500	26	t0	0.088235294
0.5X	500	26	t10	0.058823529
0.5X	500	26	t20	0.058823529
0.5X	500	26	t3	0.088235294
0.5X	500	26	t33	0.058823529
0.5X	500	26	t5	0.088235294
0.5X	500	26	t50	0.058823529
0.5X	500	26	t7	0.088235294
0.5X	500	26	t75	0.029411765
0.5X	500	28	ori	0.058823529
0.5X	500	28	t0	0.058823529
0.5X	500	28	t10	0.088235294
0.5X	500	28	t20	0.088235294
0.5X	500	28	t3	0.058823529
0.5X	500	28	t33	0.088235294
0.5X	500	28	t5	0.058823529
0.5X	500	28	t50	0.058823529
0.5X	500	28	t7	0.058823529
0.5X	500	28	t75	0.058823529
0.5X	500	30	ori	0.029411765
0.5X	500	30	t0	0.029411765
0.5X	500	30	t10	0.058823529
0.5X	500	30	t20	0.058823529
0.5X	500	30	t3	0.058823529
0.5X	500	30	t33	0.029411765
