V1 V4 V2.x V3.x V5.x V6.x V7.x V2.y V3.y V5.y V6.y V7.y V8
71 2000 ASTRALIII non 144 18 0.125 ASTRALII non 144 19 0.1319 1
90 200 ASTRALIII non 113 48 0.4248 ASTRALII non 113 47 0.4159 1
134 1000 ASTRALIII non 142 0 0 ASTRALII non 142 1 0.007 1
134 50 ASTRALIII non 142 12 0.0845 ASTRALII non 142 11 0.0775 1
163 50 ASTRALIII non 160 48 0.3 ASTRALII non 160 49 0.3063 1
171 50 ASTRALIII non 78 14 0.1795 ASTRALII non 78 15 0.1923 1
173 50 ASTRALIII non 118 9 0.0763 ASTRALII non 118 7 0.0593 2
182 50 ASTRALIII non 88 6 0.0682 ASTRALII non 88 5 0.0568 1
205 50 ASTRALIII non 75 3 0.04 ASTRALII non 75 4 0.0533 1
235 50 ASTRALIII non 162 53 0.3272 ASTRALII non 162 52 0.321 1
260 2000 ASTRALIII non 123 20 0.1626 ASTRALII non 123 22 0.1789 2
273 50 ASTRALIII non 117 20 0.1709 ASTRALII non 117 21 0.1795 1
277 2000 ASTRALIII non 198 15 0.0758 ASTRALII non 198 16 0.0808 1
288 2000 ASTRALIII non 192 12 0.0625 ASTRALII non 192 13 0.0677 1
296 2000 ASTRALIII non 174 9 0.0517 ASTRALII non 174 10 0.0575 1
