V4 V2.x V3.x V5.x V6.x V7.x V2.y V3.y V5.y V6.y V7.y 
1 1000 ASTRALIII non 109 2 0.0183 ASTRALII non 109 2 0.0183
1 200 ASTRALIII non 109 2 0.0183 ASTRALII non 109 2 0.0183
1 2000 ASTRALIII non 109 2 0.0183 ASTRALII non 109 2 0.0183
1 50 ASTRALIII non 109 3 0.0275 ASTRALII non 109 3 0.0275
1 500 ASTRALIII non 109 2 0.0183 ASTRALII non 109 2 0.0183
2 1000 ASTRALIII non 107 5 0.0467 ASTRALII non 107 5 0.0467
2 200 ASTRALIII non 107 12 0.1121 ASTRALII non 107 12 0.1121
2 2000 ASTRALIII non 107 3 0.028 ASTRALII non 107 3 0.028
2 50 ASTRALIII non 107 19 0.1776 ASTRALII non 107 19 0.1776
2 500 ASTRALIII non 107 6 0.0561 ASTRALII non 107 6 0.0561
3 1000 ASTRALIII non 87 25 0.2874 ASTRALII non 87 25 0.2874
3 200 ASTRALIII non 87 27 0.3103 ASTRALII non 87 27 0.3103
3 2000 ASTRALIII non 87 21 0.2414 ASTRALII non 87 21 0.2414
3 50 ASTRALIII non 87 29 0.3333 ASTRALII non 87 29 0.3333
3 500 ASTRALIII non 87 24 0.2759 ASTRALII non 87 24 0.2759
4 1000 ASTRALIII non 171 4 0.0234 ASTRALII non 171 4 0.0234
4 200 ASTRALIII non 171 4 0.0234 ASTRALII non 171 4 0.0234
4 2000 ASTRALIII non 171 4 0.0234 ASTRALII non 171 4 0.0234
4 50 ASTRALIII non 171 12 0.0702 ASTRALII non 171 12 0.0702
4 500 ASTRALIII non 171 5 0.0292 ASTRALII non 171 5 0.0292
5 1000 ASTRALIII non 140 5 0.0357 ASTRALII non 140 5 0.0357
5 200 ASTRALIII non 140 9 0.0643 ASTRALII non 140 9 0.0643
5 2000 ASTRALIII non 140 6 0.0429 ASTRALII non 140 6 0.0429
5 50 ASTRALIII non 140 11 0.0786 ASTRALII non 140 11 0.0786
5 500 ASTRALIII non 140 6 0.0429 ASTRALII non 140 6 0.0429
6 1000 ASTRALIII non 62 2 0.0323 ASTRALII non 62 2 0.0323
6 200 ASTRALIII non 62 2 0.0323 ASTRALII non 62 2 0.0323
6 2000 ASTRALIII non 62 2 0.0323 ASTRALII non 62 2 0.0323
6 50 ASTRALIII non 62 11 0.1774 ASTRALII non 62 11 0.1774
6 500 ASTRALIII non 62 2 0.0323 ASTRALII non 62 2 0.0323
7 1000 ASTRALIII non 52 1 0.0192 ASTRALII non 52 1 0.0192
7 200 ASTRALIII non 52 2 0.0385 ASTRALII non 52 2 0.0385
7 2000 ASTRALIII non 52 2 0.0385 ASTRALII non 52 2 0.0385
7 50 ASTRALIII non 52 2 0.0385 ASTRALII non 52 2 0.0385
7 500 ASTRALIII non 52 2 0.0385 ASTRALII non 52 2 0.0385
8 1000 ASTRALIII non 106 3 0.0283 ASTRALII non 106 3 0.0283
8 200 ASTRALIII non 106 2 0.0189 ASTRALII non 106 2 0.0189
8 2000 ASTRALIII non 106 1 0.0094 ASTRALII non 106 1 0.0094
8 50 ASTRALIII non 106 12 0.1132 ASTRALII non 106 12 0.1132
8 500 ASTRALIII non 106 1 0.0094 ASTRALII non 106 1 0.0094
9 1000 ASTRALIII non 137 10 0.073 ASTRALII non 137 10 0.073
9 200 ASTRALIII non 137 19 0.1387 ASTRALII non 137 19 0.1387
9 2000 ASTRALIII non 137 5 0.0365 ASTRALII non 137 5 0.0365
9 50 ASTRALIII non 137 37 0.2701 ASTRALII non 137 37 0.2701
9 500 ASTRALIII non 137 9 0.0657 ASTRALII non 137 9 0.0657
10 1000 ASTRALIII non 110 7 0.0636 ASTRALII non 110 7 0.0636
10 200 ASTRALIII non 110 7 0.0636 ASTRALII non 110 7 0.0636
10 2000 ASTRALIII non 110 8 0.0727 ASTRALII non 110 8 0.0727
10 50 ASTRALIII non 110 9 0.0818 ASTRALII non 110 9 0.0818
10 500 ASTRALIII non 110 8 0.0727 ASTRALII non 110 8 0.0727
11 1000 ASTRALIII non 154 9 0.0584 ASTRALII non 154 9 0.0584
11 200 ASTRALIII non 154 21 0.1364 ASTRALII non 154 21 0.1364
11 2000 ASTRALIII non 154 10 0.0649 ASTRALII non 154 10 0.0649
11 50 ASTRALIII non 154 34 0.2208 ASTRALII non 154 34 0.2208
11 500 ASTRALIII non 154 20 0.1299 ASTRALII non 154 20 0.1299
12 1000 ASTRALIII non 194 2 0.0103 ASTRALII non 194 2 0.0103
12 200 ASTRALIII non 194 9 0.0464 ASTRALII non 194 9 0.0464
12 2000 ASTRALIII non 194 1 0.0052 ASTRALII non 194 1 0.0052
12 50 ASTRALIII non 194 21 0.1082 ASTRALII non 194 21 0.1082
12 500 ASTRALIII non 194 4 0.0206 ASTRALII non 194 4 0.0206
13 1000 ASTRALIII non 198 7 0.0354 ASTRALII non 198 7 0.0354
13 200 ASTRALIII non 198 14 0.0707 ASTRALII non 198 14 0.0707
13 2000 ASTRALIII non 198 7 0.0354 ASTRALII non 198 7 0.0354
13 50 ASTRALIII non 198 23 0.1162 ASTRALII non 198 23 0.1162
13 500 ASTRALIII non 198 10 0.0505 ASTRALII non 198 10 0.0505
14 1000 ASTRALIII non 86 3 0.0349 ASTRALII non 86 3 0.0349
14 200 ASTRALIII non 86 2 0.0233 ASTRALII non 86 2 0.0233
14 2000 ASTRALIII non 86 2 0.0233 ASTRALII non 86 2 0.0233
14 50 ASTRALIII non 86 3 0.0349 ASTRALII non 86 3 0.0349
14 500 ASTRALIII non 86 4 0.0465 ASTRALII non 86 4 0.0465
15 1000 ASTRALIII non 50 2 0.04 ASTRALII non 50 2 0.04
15 200 ASTRALIII non 50 4 0.08 ASTRALII non 50 4 0.08
15 2000 ASTRALIII non 50 1 0.02 ASTRALII non 50 1 0.02
15 50 ASTRALIII non 50 6 0.12 ASTRALII non 50 6 0.12
15 500 ASTRALIII non 50 2 0.04 ASTRALII non 50 2 0.04
16 1000 ASTRALIII non 72 4 0.0556 ASTRALII non 72 4 0.0556
16 200 ASTRALIII non 72 8 0.1111 ASTRALII non 72 8 0.1111
16 2000 ASTRALIII non 72 4 0.0556 ASTRALII non 72 4 0.0556
16 50 ASTRALIII non 72 15 0.2083 ASTRALII non 72 15 0.2083
16 500 ASTRALIII non 72 5 0.0694 ASTRALII non 72 5 0.0694
17 1000 ASTRALIII non 84 38 0.4524 ASTRALII non 84 38 0.4524
17 200 ASTRALIII non 84 39 0.4643 ASTRALII non 84 39 0.4643
17 2000 ASTRALIII non 84 39 0.4643 ASTRALII non 84 39 0.4643
17 50 ASTRALIII non 84 42 0.5 ASTRALII non 84 42 0.5
17 500 ASTRALIII non 84 38 0.4524 ASTRALII non 84 38 0.4524
18 1000 ASTRALIII non 52 3 0.0577 ASTRALII non 52 3 0.0577
18 200 ASTRALIII non 52 11 0.2115 ASTRALII non 52 11 0.2115
18 2000 ASTRALIII non 52 2 0.0385 ASTRALII non 52 2 0.0385
18 50 ASTRALIII non 52 17 0.3269 ASTRALII non 52 17 0.3269
18 500 ASTRALIII non 52 6 0.1154 ASTRALII non 52 6 0.1154
19 1000 ASTRALIII non 155 7 0.0452 ASTRALII non 155 7 0.0452
19 200 ASTRALIII non 155 15 0.0968 ASTRALII non 155 15 0.0968
19 2000 ASTRALIII non 155 7 0.0452 ASTRALII non 155 7 0.0452
19 50 ASTRALIII non 155 19 0.1226 ASTRALII non 155 19 0.1226
19 500 ASTRALIII non 155 8 0.0516 ASTRALII non 155 8 0.0516
20 1000 ASTRALIII non 74 7 0.0946 ASTRALII non 74 7 0.0946
20 200 ASTRALIII non 74 16 0.2162 ASTRALII non 74 16 0.2162
20 2000 ASTRALIII non 74 4 0.0541 ASTRALII non 74 4 0.0541
20 50 ASTRALIII non 74 26 0.3514 ASTRALII non 74 26 0.3514
20 500 ASTRALIII non 74 6 0.0811 ASTRALII non 74 6 0.0811
21 1000 ASTRALIII non 71 1 0.0141 ASTRALII non 71 1 0.0141
21 200 ASTRALIII non 71 1 0.0141 ASTRALII non 71 1 0.0141
21 2000 ASTRALIII non 71 1 0.0141 ASTRALII non 71 1 0.0141
21 50 ASTRALIII non 71 2 0.0282 ASTRALII non 71 2 0.0282
21 500 ASTRALIII non 71 1 0.0141 ASTRALII non 71 1 0.0141
22 1000 ASTRALIII non 52 4 0.0769 ASTRALII non 52 4 0.0769
22 200 ASTRALIII non 52 10 0.1923 ASTRALII non 52 10 0.1923
22 2000 ASTRALIII non 52 3 0.0577 ASTRALII non 52 3 0.0577
22 50 ASTRALIII non 52 12 0.2308 ASTRALII non 52 12 0.2308
22 500 ASTRALIII non 52 10 0.1923 ASTRALII non 52 10 0.1923
23 1000 ASTRALIII non 167 58 0.3473 ASTRALII non 167 58 0.3473
23 200 ASTRALIII non 167 59 0.3533 ASTRALII non 167 59 0.3533
23 2000 ASTRALIII non 167 57 0.3413 ASTRALII non 167 57 0.3413
23 50 ASTRALIII non 167 61 0.3653 ASTRALII non 167 61 0.3653
23 500 ASTRALIII non 167 60 0.3593 ASTRALII non 167 60 0.3593
24 1000 ASTRALIII non 142 2 0.0141 ASTRALII non 142 2 0.0141
24 200 ASTRALIII non 142 4 0.0282 ASTRALII non 142 4 0.0282
24 2000 ASTRALIII non 142 1 0.007 ASTRALII non 142 1 0.007
24 50 ASTRALIII non 142 3 0.0211 ASTRALII non 142 3 0.0211
24 500 ASTRALIII non 142 1 0.007 ASTRALII non 142 1 0.007
25 1000 ASTRALIII non 59 3 0.0508 ASTRALII non 59 3 0.0508
25 200 ASTRALIII non 59 1 0.0169 ASTRALII non 59 1 0.0169
25 2000 ASTRALIII non 59 3 0.0508 ASTRALII non 59 3 0.0508
25 50 ASTRALIII non 59 4 0.0678 ASTRALII non 59 4 0.0678
25 500 ASTRALIII non 59 1 0.0169 ASTRALII non 59 1 0.0169
26 1000 ASTRALIII non 114 11 0.0965 ASTRALII non 114 11 0.0965
26 200 ASTRALIII non 114 11 0.0965 ASTRALII non 114 11 0.0965
26 2000 ASTRALIII non 114 11 0.0965 ASTRALII non 114 11 0.0965
26 50 ASTRALIII non 114 27 0.2368 ASTRALII non 114 27 0.2368
26 500 ASTRALIII non 114 9 0.0789 ASTRALII non 114 9 0.0789
27 1000 ASTRALIII non 189 4 0.0212 ASTRALII non 189 4 0.0212
27 200 ASTRALIII non 189 6 0.0317 ASTRALII non 189 6 0.0317
27 2000 ASTRALIII non 189 2 0.0106 ASTRALII non 189 2 0.0106
27 50 ASTRALIII non 189 20 0.1058 ASTRALII non 189 20 0.1058
27 500 ASTRALIII non 189 4 0.0212 ASTRALII non 189 4 0.0212
28 1000 ASTRALIII non 93 1 0.0108 ASTRALII non 93 1 0.0108
28 200 ASTRALIII non 93 5 0.0538 ASTRALII non 93 5 0.0538
28 2000 ASTRALIII non 93 1 0.0108 ASTRALII non 93 1 0.0108
28 50 ASTRALIII non 93 6 0.0645 ASTRALII non 93 6 0.0645
28 500 ASTRALIII non 93 4 0.043 ASTRALII non 93 4 0.043
29 1000 ASTRALIII non 179 8 0.0447 ASTRALII non 179 8 0.0447
29 200 ASTRALIII non 179 19 0.1061 ASTRALII non 179 19 0.1061
29 2000 ASTRALIII non 179 7 0.0391 ASTRALII non 179 7 0.0391
29 50 ASTRALIII non 179 39 0.2179 ASTRALII non 179 39 0.2179
29 500 ASTRALIII non 179 13 0.0726 ASTRALII non 179 13 0.0726
30 1000 ASTRALIII non 171 8 0.0468 ASTRALII non 171 8 0.0468
30 200 ASTRALIII non 171 7 0.0409 ASTRALII non 171 7 0.0409
30 2000 ASTRALIII non 171 5 0.0292 ASTRALII non 171 5 0.0292
30 50 ASTRALIII non 171 9 0.0526 ASTRALII non 171 9 0.0526
30 500 ASTRALIII non 171 5 0.0292 ASTRALII non 171 5 0.0292
31 1000 ASTRALIII non 145 21 0.1448 ASTRALII non 145 21 0.1448
31 200 ASTRALIII non 145 37 0.2552 ASTRALII non 145 37 0.2552
31 2000 ASTRALIII non 145 12 0.0828 ASTRALII non 145 12 0.0828
31 50 ASTRALIII non 145 72 0.4966 ASTRALII non 145 72 0.4966
31 500 ASTRALIII non 145 25 0.1724 ASTRALII non 145 25 0.1724
