Replicate Speciation-rate Extinction-rate Ingroup-divergence/divergence-to-the-ingroup-ratio Number-of-leaves Generations Haploid-efective-population-size Global-substitution-rate Lineage-(species)-specific-rate-heterogeneity-gamma-shape Gene-family-(locus-tree)-specific-rate-heterogeneity-gamma-shape Individuals-per-species ASTRAL-quartetScore outgroup-miss-replacement mean-seq-length
001 0.00000022126670 0.00000016424240 1.5 111.0 2213325.0 60302.0 0.00000008183867000 4.20478800 3.05695500 1.0 0.909143923024657 2000 1364.89
002 0.00000031758720 0.00000026261910 1.5 109.0 1661649.0 363449.0 0.00000001627020000 10.52964000 6.05916900 1.0 0.6822003765685666 1997 437.035
003 0.00000037718810 0.00000027965040 1.5 89.0 1914950.0 780239.0 0.00000002943900000 0.39743510 3.75179500 1.0 0.5515498808307797 1905 560.928
004 0.00000010871290 0.00000010314640 1.5 173.0 2108853.0 70435.0 0.00000003553463000 87.34819000 6.15311100 1.0 0.7887277791616216 2000 719.865
005 0.00000032731250 0.00000013533380 1.5 142.0 6461272.0 214337.0 0.00000003812580000 1.62545400 2.38345700 1.0 0.9183152891759125 2000 436.038
006 0.00000026813410 0.00000011330590 1.5 64.0 530974.5 405968.0 0.00000007948167000 42.73997000 8.92269600 1.0 0.49446769171688526 1488 1715.66
007 0.00000082220730 0.00000019692840 1.5 54.0 4247852.0 493326.0 0.00000002398006000 2.07107600 4.45573100 1.0 0.8580421911421912 2000 1216.96
008 0.00000079346810 0.00000077004910 1.5 108.0 2700254.0 643279.0 0.00000007947481000 3.67067900 7.40853000 1.0 0.7256834040024439 1996 609.347
009 0.00000046081240 0.00000039488820 1.5 139.0 470868.0 374806.0 0.00000003290988000 12.22090000 2.23854000 1.0 0.4398756772756524 1432 882.568
010 0.00000011265510 0.00000010195480 1.5 112.0 6326475.0 353177.0 0.00000006849584000 1.90728100 3.43021500 1.0 0.8519802025706893 2000 350.524
011 0.00000017347720 0.00000013319550 1.5 156.0 1047684.0 303859.0 0.00000003061942000 3.00779800 4.12405500 1.0 0.5123408901556631 1982 357.538
012 0.00000066497050 0.00000011612450 1.5 196.0 1966373.0 912396.0 0.00000004534061000 12.89949000 3.31826900 1.0 0.5647510003792997 1851 374.35
013 0.00000011523840 0.00000010829600 1.5 200.0 4352544.0 769452.0 0.00000004395333000 3.42737400 9.11770700 1.0 0.6705757975616057 1999 269.364
014 0.00000044168860 0.00000028086410 1.5 88.0 11506020.0 386455.0 0.00000006042964000 1.66410300 3.33754400 1.0 0.9680373275841591 2000 517.691
015 0.00000013041660 0.00000010105330 1.5 52.0 985490.5 592041.0 0.00000002964997000 13.38230000 1.14362400 1.0 0.5278882762742252 1728 609.876
016 0.00000024020320 0.00000023329320 1.5 74.0 780468.2 620951.0 0.00000012246990000 12.07617000 1.95766600 1.0 0.4805349294499979 1489 1273.1
017 0.00000038447120 0.00000020962970 1.5 86.0 2329484.0 956439.0 0.00000003639904000 0.12951090 4.15545500 1.0 0.583622471859634 1923 992.403
018 0.00000013282610 0.00000012623570 1.5 54.0 691464.7 808528.0 0.00000006544706000 1.45379000 2.99945800 1.0 0.4571292943953321 1045 649.795
019 0.00000088429200 0.00000012484050 1.5 157.0 2214837.0 927245.0 0.00000006888905000 6.08572700 6.35405000 1.0 0.6340558958660646 1897 532.045
020 0.00000039582800 0.00000012172150 1.5 76.0 423786.1 341356.0 0.00000006764059000 10.99508000 3.50538400 1.0 0.4630429402745192 1432 371.141
021 0.00000030918930 0.00000024136650 1.5 73.0 10010800.0 39580.0 0.00000003602967000 10.48017000 0.66339090 1.0 0.9971825627962517 2000 827.332
022 0.00000016363570 0.00000014764420 1.5 54.0 1509773.0 947742.0 0.00000002494737000 13.72395000 5.15560900 1.0 0.5649565803169577 1682 732.696
023 0.00000037292020 0.00000020661050 1.5 169.0 10390900.0 463346.0 0.00000003284741000 0.11529640 5.78301100 1.0 0.9123969277396676 2000 977.459
024 0.00000077501050 0.00000010626690 1.5 144.0 5167263.0 83401.0 0.00000003132073000 6.88838100 14.56362000 1.0 0.9903451542265408 2000 462.291
025 0.00000050064660 0.00000031216170 1.5 61.0 2109469.0 202729.0 0.00000001201258000 2.83011800 3.30161100 1.0 0.8612394563005853 2000 402.318
026 0.00000022856340 0.00000019960090 1.5 116.0 1711214.0 931485.0 0.00000008636350000 0.50067840 5.04182800 1.0 0.5038072995216292 1778 906.303
027 0.00000087137580 0.00000013970290 1.5 191.0 1979321.0 509400.0 0.00000002686247000 7.51808700 8.35130200 1.0 0.6498126447317392 1996 845.241
028 0.00000024493440 0.00000014454530 1.5 95.0 7110624.0 490847.0 0.00000006085491000 2.90796100 2.32435800 1.0 0.8662410835771653 2000 540.721
029 0.00000013374300 0.00000010372100 1.5 181.0 2029468.0 766045.0 0.00000001920071000 1.22900700 3.01277000 1.0 0.48051339688840844 1920 848.816
030 0.00000029422860 0.00000014590350 1.5 173.0 5439368.0 866545.0 0.00000002588210000 7.73363100 4.45883200 1.0 0.7174522317172071 2000 564.003
031 0.00000028161750 0.00000014531390 1.5 147.0 305695.6 677561.0 0.00000010042140000 6.64257200 6.32064300 1.0 0.3853776520073234 397 599.405
032 0.00000032736920 0.00000018170480 1.5 134.0 1248393.0 198584.0 0.00000003376635000 5.88658400 4.25204900 1.0 0.6186932716232009 2000 1338.28
033 0.00000093824210 0.00000027938360 1.5 61.0 6303988.0 692037.0 0.00000006128924000 5.29741700 3.11413500 1.0 0.9445891206338678 2000 315.853
034 0.00000012721870 0.00000012100280 1.5 56.0 2121679.0 162935.0 0.00000005501600000 5.90290900 1.88487800 1.0 0.8992390167337536 2000 554.547
035 0.00000079557340 0.00000029200470 1.5 92.0 8789647.0 813827.0 0.00000003288573000 0.55394140 6.44446600 1.0 0.9318238478834552 2000 491.479
036 0.00000014596460 0.00000014315990 1.5 53.0 640696.5 86136.0 0.00000002399705000 9.53500000 2.97055900 1.0 0.7974426626318968 2000 630.182
037 0.00000066127950 0.00000017825020 1.5 151.0 2793556.0 887819.0 0.00000002952180000 1.96428900 7.62599400 1.0 0.59563893087646 1972 662.021
038 0.00000037835290 0.00000036665270 1.5 142.0 1185774.0 586373.0 0.00000006094291000 3.46067700 4.76405500 1.0 0.486365992922271 1804 664.193
039 0.00000087531810 0.00000015540690 1.5 119.0 2913904.0 961192.0 0.00000004552512000 2.91668800 2.60313700 1.0 0.6228782778039508 1965 1413.04
040 0.00000022881780 0.00000015954970 1.5 79.0 2400784.0 682996.0 0.00000002129448000 19.89337000 4.41383300 1.0 0.7007765064049875 1977 390.324
041 0.00000013947280 0.00000010926260 1.5 111.0 2524342.0 29340.0 0.00000005315277000 1.49332000 5.58605500 1.0 0.9375760600049591 2000 616.445
