"","V1","V2","V3","V4","V5","V6.x","V6.y"
"1",1e-06,"4.11.2",1000,"halfresolved",1,152605,428864
"2",1e-06,"4.11.2",1000,"halfresolved",10,172507,398393
"3",1e-06,"4.11.2",1000,"halfresolved",11,175681,518611
"4",1e-06,"4.11.2",1000,"halfresolved",12,315373,544630
"5",1e-06,"4.11.2",1000,"halfresolved",13,167615,499907
"6",1e-06,"4.11.2",1000,"halfresolved",14,157187,389166
"7",1e-06,"4.11.2",1000,"halfresolved",15,184611,246115
"8",1e-06,"4.11.2",1000,"halfresolved",16,155619,385728
"9",1e-06,"4.11.2",1000,"halfresolved",17,135945,498383
"10",1e-06,"4.11.2",1000,"halfresolved",18,193455,410416
"11",1e-06,"4.11.2",1000,"halfresolved",19,214583,397443
"12",1e-06,"4.11.2",1000,"halfresolved",2,174345,366022
"13",1e-06,"4.11.2",1000,"halfresolved",20,201363,412274
"14",1e-06,"4.11.2",1000,"halfresolved",21,187835,431533
"15",1e-06,"4.11.2",1000,"halfresolved",22,155573,361289
"16",1e-06,"4.11.2",1000,"halfresolved",23,176833,393852
"17",1e-06,"4.11.2",1000,"halfresolved",24,171351,411242
"18",1e-06,"4.11.2",1000,"halfresolved",25,169223,392360
"19",1e-06,"4.11.2",1000,"halfresolved",26,158157,393378
"20",1e-06,"4.11.2",1000,"halfresolved",27,275763,463966
"21",1e-06,"4.11.2",1000,"halfresolved",28,171719,323956
"22",1e-06,"4.11.2",1000,"halfresolved",29,173689,436498
"23",1e-06,"4.11.2",1000,"halfresolved",3,111237,257611
"24",1e-06,"4.11.2",1000,"halfresolved",30,172603,412997
"25",1e-06,"4.11.2",1000,"halfresolved",31,151633,352555
"26",1e-06,"4.11.2",1000,"halfresolved",32,186713,386847
"27",1e-06,"4.11.2",1000,"halfresolved",33,154923,333997
"28",1e-06,"4.11.2",1000,"halfresolved",34,160737,402125
"29",1e-06,"4.11.2",1000,"halfresolved",35,188219,400928
"30",1e-06,"4.11.2",1000,"halfresolved",36,245105,507674
"31",1e-06,"4.11.2",1000,"halfresolved",37,191365,352674
"32",1e-06,"4.11.2",1000,"halfresolved",38,162863,417051
"33",1e-06,"4.11.2",1000,"halfresolved",39,198087,410263
"34",1e-06,"4.11.2",1000,"halfresolved",4,205001,455482
"35",1e-06,"4.11.2",1000,"halfresolved",40,192825,377630
"36",1e-06,"4.11.2",1000,"halfresolved",41,201127,423237
"37",1e-06,"4.11.2",1000,"halfresolved",42,222725,367731
"38",1e-06,"4.11.2",1000,"halfresolved",43,187721,462070
"39",1e-06,"4.11.2",1000,"halfresolved",44,215921,409141
"40",1e-06,"4.11.2",1000,"halfresolved",45,142255,303913
"41",1e-06,"4.11.2",1000,"halfresolved",46,254397,438758
"42",1e-06,"4.11.2",1000,"halfresolved",47,172945,389120
"43",1e-06,"4.11.2",1000,"halfresolved",48,220957,496383
"44",1e-06,"4.11.2",1000,"halfresolved",5,158441,393664
"45",1e-06,"4.11.2",1000,"halfresolved",50,185129,402205
"46",1e-06,"4.11.2",1000,"halfresolved",6,136379,417756
"47",1e-06,"4.11.2",1000,"halfresolved",7,214791,414412
"48",1e-06,"4.11.2",1000,"halfresolved",9,171479,424524
"49",1e-06,"4.11.2",1000,"original",1,152605,428864
"50",1e-06,"4.11.2",1000,"original",10,175047,404582
"51",1e-06,"4.11.2",1000,"original",11,180121,529859
"52",1e-06,"4.11.2",1000,"original",12,318983,556417
"53",1e-06,"4.11.2",1000,"original",13,167615,499907
"54",1e-06,"4.11.2",1000,"original",14,157187,389166
"55",1e-06,"4.11.2",1000,"original",15,383261,557425
"56",1e-06,"4.11.2",1000,"original",16,155619,385728
"57",1e-06,"4.11.2",1000,"original",17,135945,498383
"58",1e-06,"4.11.2",1000,"original",18,198563,419560
"59",1e-06,"4.11.2",1000,"original",19,250407,473933
"60",1e-06,"4.11.2",1000,"original",2,177503,371589
"61",1e-06,"4.11.2",1000,"original",20,211413,434883
"62",1e-06,"4.11.2",1000,"original",21,193129,447134
"63",1e-06,"4.11.2",1000,"original",22,155573,361289
"64",1e-06,"4.11.2",1000,"original",23,188029,422712
"65",1e-06,"4.11.2",1000,"original",24,171351,411242
"66",1e-06,"4.11.2",1000,"original",25,169223,392360
"67",1e-06,"4.11.2",1000,"original",26,158157,393378
"68",1e-06,"4.11.2",1000,"original",27,275763,463966
"69",1e-06,"4.11.2",1000,"original",28,194259,370431
"70",1e-06,"4.11.2",1000,"original",29,173689,436498
"71",1e-06,"4.11.2",1000,"original",3,138477,318028
"72",1e-06,"4.11.2",1000,"original",30,172985,414917
"73",1e-06,"4.11.2",1000,"original",31,151633,352555
"74",1e-06,"4.11.2",1000,"original",32,209659,436678
"75",1e-06,"4.11.2",1000,"original",33,154813,332864
